time	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
0.000000000000000e+000	-1.198860e-021	1.511510e-021	-6.776264e-021	-1.354914e-020	-1.553105e-021
2.823107199787331e-010	3.227117e-019	-3.242606e-018	1.497746e-018	-9.165969e-022	1.626677e-018
5.823107199787321e-010	3.047854e-018	-1.426931e-018	1.691826e-018	-5.489752e-021	1.844591e-018
8.823107199787310e-010	3.097252e-018	-1.526640e-018	1.885978e-018	-5.624247e-021	1.990366e-018
1.000000000000000e-009	4.758990e-018	1.530976e-019	1.988356e-018	-1.801275e-019	1.999937e-018
1.179500000000018e-009	3.665697e-018	-8.942139e-019	2.058297e-018	-4.424252e-021	2.283463e-018
1.479500000000048e-009	3.390928e-018	-1.018928e-018	2.207431e-018	1.407666e-020	2.368932e-018
1.779500000000078e-009	2.768312e-018	-1.525212e-018	2.359416e-018	1.849827e-020	2.597983e-018
2.079500000000063e-009	2.936621e-018	-1.203342e-018	2.518709e-018	1.406519e-020	2.813405e-018
2.379500000000031e-009	3.103755e-018	-9.039755e-019	2.654152e-018	3.886268e-020	3.013617e-018
2.679499999999999e-009	3.562200e-018	-2.930875e-019	2.818648e-018	6.386491e-020	3.157697e-018
2.979499999999967e-009	3.883991e-018	2.100107e-019	2.967128e-018	4.986047e-020	3.336471e-018
3.279499999999935e-009	3.008364e-018	-5.383488e-019	3.044885e-018	-3.473971e-020	3.456430e-018
3.579499999999903e-009	3.103641e-018	-3.411014e-019	3.153434e-018	-5.463851e-020	3.616746e-018
3.879499999999935e-009	3.189010e-018	-1.865036e-019	3.256371e-018	-6.208992e-020	3.737928e-018
3.892071428571376e-009	3.101667e-018	-2.680853e-019	3.267764e-018	-6.200603e-020	3.735970e-018
3.904642857142817e-009	3.009503e-018	-3.545692e-019	3.276448e-018	-6.315928e-020	3.736412e-018
3.917214285714258e-009	2.912519e-018	-4.459552e-019	3.282422e-018	-6.554965e-020	3.739254e-018
3.929785714285698e-009	2.810714e-018	-5.422435e-019	3.285687e-018	-6.917716e-020	3.744496e-018
3.942357142857139e-009	2.704089e-018	-6.434340e-019	3.286243e-018	-7.404180e-020	3.752139e-018
3.954928571428580e-009	2.592644e-018	-7.495266e-019	3.284089e-018	-8.014358e-020	3.762181e-018
3.967500000000021e-009	2.476378e-018	-8.605215e-019	3.279226e-018	-8.748248e-020	3.774623e-018
3.982071428571436e-009	2.642541e-018	-6.893231e-019	3.291725e-018	-8.727553e-020	3.775734e-018
3.996642857142852e-009	2.775759e-018	-5.509301e-019	3.300803e-018	-8.607816e-020	3.776338e-018
4.011214285714267e-009	2.876030e-018	-4.453425e-019	3.306459e-018	-8.389038e-020	3.776436e-018
4.025785714285682e-009	2.943354e-018	-3.725601e-019	3.308692e-018	-8.071218e-020	3.776029e-018
4.040357142857098e-009	2.977733e-018	-3.325830e-019	3.307504e-018	-7.654356e-020	3.775115e-018
4.054928571428513e-009	2.979165e-018	-3.254113e-019	3.302893e-018	-7.138453e-020	3.773694e-018
4.069499999999929e-009	2.947652e-018	-3.510449e-019	3.294860e-018	-6.523508e-020	3.771768e-018
4.173499999999961e-009	2.749034e-018	-5.020129e-019	3.341281e-018	-5.481373e-020	3.822691e-018
4.473500000000053e-009	3.342828e-018	1.006160e-019	3.353302e-018	-1.012567e-019	3.836569e-018
4.773500000000145e-009	2.637444e-018	-5.854339e-019	3.382784e-018	-1.321439e-019	3.993363e-018
5.073500000000237e-009	8.323721e-019	-3.788144e-018	4.842729e-018	-1.612294e-019	5.584453e-018
5.373500000000329e-009	3.334578e-018	-3.754306e-018	5.578391e-018	-1.708378e-019	6.335479e-018
5.673500000000421e-009	5.337988e-018	-2.229513e-018	5.366156e-018	-1.895558e-019	6.127624e-018
5.973500000000513e-009	3.948389e-018	-3.722538e-018	6.319017e-018	-2.245236e-019	7.159274e-018
5.998500000000521e-009	3.258145e-018	-4.419756e-018	6.177421e-018	-1.854999e-019	7.052473e-018
5.999500000000521e-009	5.601631e-018	-2.045252e-018	7.016071e-017	5.471543e-017	5.390318e-018
6.000500000000522e-009	1.065716e-017	3.061454e-018	4.886729e-016	4.111824e-016	3.675430e-018
6.001500000000522e-009	1.238726e-017	4.787003e-018	1.745038e-015	1.493151e-015	4.430374e-018
6.003928571429094e-009	8.456053e-018	9.912648e-019	9.779288e-015	8.551765e-015	5.096008e-018
6.006357142857667e-009	8.196875e-018	1.991905e-019	2.617500e-014	2.336757e-014	5.692473e-018
6.008785714286239e-009	1.160973e-017	2.410780e-018	5.093217e-014	4.594058e-014	6.219770e-018
6.011214285714811e-009	1.869462e-017	7.626033e-018	8.405081e-014	7.627077e-014	6.677899e-018
6.013642857143383e-009	2.945155e-017	1.584495e-017	1.255309e-013	1.143582e-013	7.066860e-018
6.016071428571955e-009	4.388051e-017	2.706753e-017	1.753725e-013	1.602028e-013	7.386653e-018
6.018500000000527e-009	6.198151e-017	4.129378e-017	2.335755e-013	2.138045e-013	7.637278e-018
6.054785714286253e-009	-1.798977e-015	-1.947832e-015	2.347129e-012	2.147947e-012	-1.123870e-017
6.091071428571978e-009	3.318261e-015	2.286457e-015	5.888296e-012	5.457706e-012	2.884500e-017
6.127357142857704e-009	1.541370e-014	1.274416e-014	1.085708e-011	1.014308e-011	1.278884e-016
6.163642857143429e-009	3.448733e-014	2.942528e-014	1.725347e-011	1.620407e-011	2.858914e-016
6.199928571429154e-009	6.053915e-014	5.232981e-014	2.507748e-011	2.364068e-011	5.028542e-016
6.236214285714880e-009	9.356918e-014	8.145776e-014	3.432910e-011	3.245291e-011	7.787766e-016
6.272500000000605e-009	1.335774e-013	1.168091e-013	4.500834e-011	4.264075e-011	1.113659e-015
6.273500000000605e-009	1.348883e-013	1.179833e-013	4.531149e-011	4.293149e-011	1.125593e-015
6.316214285714904e-009	1.978595e-013	1.742965e-013	5.924649e-011	5.631176e-011	1.656549e-015
6.358928571429203e-009	2.753575e-013	2.449347e-013	7.434319e-011	7.090230e-011	2.327131e-015
6.401642857143502e-009	3.673822e-013	3.298980e-013	9.060160e-011	8.670311e-011	3.137337e-015
6.444357142857801e-009	4.739338e-013	4.291863e-013	1.080217e-010	1.037142e-010	4.087168e-015
6.487071428572100e-009	5.950120e-013	5.427997e-013	1.266035e-010	1.219355e-010	5.176624e-015
6.529785714286398e-009	7.306171e-013	6.707381e-013	1.463470e-010	1.413672e-010	6.405705e-015
6.572500000000697e-009	8.807489e-013	8.130016e-013	1.672523e-010	1.620090e-010	7.774411e-015
6.573500000000697e-009	8.844313e-013	8.165123e-013	1.677478e-010	1.624999e-010	7.808202e-015
6.873500000000789e-009	2.313436e-012	2.206656e-012	3.356658e-010	3.311327e-010	2.151219e-014
6.900000418282007e-009	2.468217e-012	2.359587e-012	3.520929e-010	3.478400e-010	2.305250e-014
7.144713296168485e-009	4.081294e-012	3.970141e-012	5.136038e-010	5.136551e-010	3.960821e-014
7.444713296168577e-009	6.433502e-012	6.355721e-012	7.321836e-010	7.416082e-010	6.525055e-014
