time	I(L13)	I(L17)	I(L18)	I(L18)+I(L19)	I(L19)	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.947661e-022	2.947661e-022	-1.355253e-020	-6.776264e-021	-2.671514e-020
2.823107199787331e-010	9.231543e-018	9.231543e-018	8.910624e-018	1.782125e-017	8.910624e-018	1.224075e-018	1.615668e-018	1.878640e-018	1.464396e-018	1.649804e-018
5.823107199787321e-010	7.427521e-018	7.427521e-018	7.183346e-018	1.436669e-017	7.183346e-018	4.023304e-018	4.403579e-018	2.077656e-018	1.606082e-018	1.864081e-018
8.823107199787310e-010	6.302966e-018	6.302966e-018	5.992459e-018	1.198492e-017	5.992459e-018	5.257873e-018	5.693669e-018	2.178607e-018	1.857022e-018	2.112915e-018
1.000000000000000e-009	5.771741e-018	5.771741e-018	5.827652e-018	1.165530e-017	5.827652e-018	6.532080e-018	7.001647e-018	2.566720e-018	2.181817e-018	2.390148e-018
1.179500000000018e-009	5.068638e-018	5.068638e-018	5.742919e-018	1.148584e-017	5.742919e-018	6.410759e-018	6.920531e-018	2.423460e-018	1.888520e-018	2.278530e-018
1.479500000000048e-009	5.006530e-018	5.006530e-018	4.460328e-018	8.920657e-018	4.460328e-018	6.812689e-018	7.230344e-018	2.627960e-018	2.027256e-018	2.472799e-018
1.779500000000078e-009	4.611266e-018	4.611266e-018	4.501684e-018	9.003369e-018	4.501684e-018	7.541466e-018	8.029838e-018	2.755905e-018	2.166087e-018	2.661267e-018
2.079500000000063e-009	4.064424e-018	4.064424e-018	3.789467e-018	7.578935e-018	3.789467e-018	6.241708e-018	6.768917e-018	2.942460e-018	2.287218e-018	2.800204e-018
2.379500000000031e-009	4.411650e-018	4.411650e-018	3.219228e-018	6.438457e-018	3.219228e-018	6.214712e-018	6.624278e-018	3.143369e-018	2.427507e-018	2.906232e-018
2.679499999999999e-009	3.924500e-018	3.924500e-018	3.068390e-018	6.136780e-018	3.068390e-018	6.379335e-018	6.661905e-018	3.387112e-018	2.548034e-018	3.090975e-018
2.979499999999967e-009	3.616850e-018	3.616850e-018	3.487536e-018	6.975071e-018	3.487536e-018	6.052170e-018	6.412790e-018	3.483472e-018	2.591465e-018	3.220250e-018
